INFO 2022-06-15 18:52:32,105 - function _setUpSubPlot called.
INFO 2022-06-15 18:52:34,237 - function FERRET populateModelListCombo called.
INFO 2022-06-15 18:52:34,297 - FERRET GUI created successfully.
INFO 2022-06-15 18:52:40,739 - function FERRET HideAllControlsOnGUI called
INFO 2022-06-15 18:52:40,740 - CSV data file C:/Users/Steve Shillitoe/source/repos/FerretNew/FerretData/SimpleModelData.csv loaded
INFO 2022-06-15 18:52:40,743 - function FERRET ConfigureGUIAfterLoadingData called.
INFO 2022-06-15 18:52:46,014 - function FERRET GetListDataNames called
INFO 2022-06-15 18:52:46,104 - function FERRET UncheckFixParameterCheckBoxes called
INFO 2022-06-15 18:52:46,104 - function FERRET configureGUIForEachModel called when model = HF1-2CFM+2DSPGR
INFO 2022-06-15 18:52:46,111 - function FERRET setUpConstantsLabelsAndWidgets called. 
INFO 2022-06-15 18:52:46,245 - function FERRET SetUpParameterLabelsAndSpinBoxes called. 
INFO 2022-06-15 18:52:46,320 - FERRET.clearOptimisedParamaterList called from cmbModels
INFO 2022-06-15 18:52:46,320 - Function FERRET.ClearOptimumParamaterConfLimitsOnGUI called.
INFO 2022-06-15 18:52:46,320 - Function FERRET.displayFitModelButton called. Model is HF1-2CFM+2DSPGR
INFO 2022-06-15 18:52:46,322 - function FerretPlotData.plotGraph called
INFO 2022-06-15 18:52:46,347 - function _setUpSubPlot called.
INFO 2022-06-15 18:52:46,359 - Function FERRET.buildParameterArray called.
INFO 2022-06-15 18:52:52,385 - function FerretPlotData.plotGraph called
INFO 2022-06-15 18:52:52,421 - function _setUpSubPlot called.
INFO 2022-06-15 18:52:52,435 - Function FERRET.buildParameterArray called.
INFO 2022-06-15 18:52:52,436 - function _setUpLegendBox called.
INFO 2022-06-15 18:52:52,483 - Function FERRET.displayFitModelButton called. Model is HF1-2CFM+2DSPGR
INFO 2022-06-15 18:52:55,566 - function FerretPlotData.plotGraph called
INFO 2022-06-15 18:52:55,591 - function _setUpSubPlot called.
INFO 2022-06-15 18:52:55,605 - Function FERRET.buildParameterArray called.
INFO 2022-06-15 18:52:55,606 - function _setUpLegendBox called.
INFO 2022-06-15 18:52:55,638 - function _setUpLegendBox called.
INFO 2022-06-15 18:52:55,661 - calculateAndPlotModelCurve called
INFO 2022-06-15 18:52:55,661 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,661 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,670 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,670 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,671 -  Tools.spgr2d_func called
